customer_id,customer_name,email,city,birth_date,updated_at
1,suresh singh,suresh.singh2@hotmail.com,Bhubaneswar,27-05-1989,2025-02-16 04:06:00
2,Pooja Nair,pooja.nair59@hotmail.com,Siliguri,02-10-2000,2025-03-22 17:20:00
3,Rohit Singh,,Kolkata,27-09-1982,2025-03-27 16:06:00
4,vikram singh,,Lucknow,15-09-1964,2025-03-04 12:51:00
5,Rahul Yadav,rahul.yadav70@gmail.com,Kanpur,01-03-1980,2025-01-13 02:10:00
6,SARA SINGH,,Jaipur,04-09-1998,2025-03-28 10:45:00
7,Arjun Das,arjun.das92@hotmail.com,Ahmedabad,08-07-1975,2025-03-28 10:26:00
8,vivaan pillai,vivaan.pillai25@gmail.com,Ranchi,13-10-1990,2025-02-17 00:31:00
9,Reyansh Kulkarni,reyansh.kulkarni18@outlook.com,Bengaluru,09-06-1993,2025-02-28 23:37:00
10,Aarav Rao,aarav.rao68@gmail.com,Ranchi,19-04-1983,2025-01-18 05:29:00
11,Aadhya Reddy,aadhya.reddy54@hotmail.com,New Delhi,02-04-1975,2025-02-25 05:33:00
12,KRISHNA RAO,krishna.rao5@yahoo.in,Ahmedabad,18-12-2000,2025-01-15 17:42:00
13,Vivaan Rao,vivaan.rao89@hotmail.com,Rajkot,02-11-1992,2025-01-21 20:30:00
14,VIVAAN DAS,vivaan.das36@yahoo.in,New Delhi,21-10-1978,2025-01-16 08:04:00
15,suresh mishra,suresh.mishra75@yahoo.in,Patna,12-09-1963,2025-01-18 12:29:00
16,ADITYA MEHTA,aditya.mehta72@gmail.com,Kolkata,06-10-2003,2025-01-08 05:35:00
17,Reyansh Chopra,reyansh.chopra83@yahoo.in,Kolkata,12-01-1965,2025-01-24 04:36:00
18,Neha Chopra,neha.chopra61@yahoo.in,Pune,16-03-1980,2025-03-04 04:00:00
19,VIKRAM KULKARNI,vikram.kulkarni81@hotmail.com,Pune,17-06-1996,2025-02-03 23:43:00
20,Riya Sharma,riya.sharma49@yahoo.in,Hyderabad,19-11-1998,2025-03-19 05:19:00
21,SNEHA MISHRA,,Surat,15-12-1971,2025-03-04 07:42:00
22,Pari Iyer,pari.iyer85@hotmail.com,Chandigarh,01-03-1964,2025-03-17 09:09:00
23,AAROHI SINGH,aarohi.singh20@hotmail.com,Mumbai,15-01-2000,2025-03-04 03:14:00
24,Vikram Bose,,Mysuru,25-08-1977,2025-02-24 09:16:00
25,Anvi Thakur,anvi.thakur41@yahoo.in,Chandigarh,01-09-1999,2025-01-07 22:18:00
26,amit kulkarni,amit.kulkarni42@yahoo.in,Nashik,13-04-1966,2025-01-20 10:41:00
27,sara kulkarni,sara.kulkarni70@hotmail.com,Ahmedabad,28-06-1976,2025-02-08 05:32:00
28,Ishaan Verma,ishaan.verma39@yahoo.in,Vadodara,19-11-1987,2025-01-15 12:40:00
29,Pari Verma,pari.verma77@outlook.com,Guwahati,08-07-1979,2025-03-21 17:56:00
30,vikram chopra,vikram.chopra79@outlook.com,Rajkot,17-07-1982,2025-01-01 13:33:00
31,Aarohi Kulkarni,aarohi.kulkarni32@hotmail.com,Coimbatore,08-02-1961,2025-01-06 15:39:00
32,Aadhya Pillai,aadhya.pillai66@yahoo.in,Coimbatore,03-09-1961,2025-01-04 06:25:00
33,Vihaan Khan,vihaan.khan81@gmail.com,Vijayawada,10-06-1975,2025-01-04 02:48:00
34,Ananya Nair,ananya.nair83@gmail.com,Rajkot,28-09-1972,2025-02-11 19:11:00
35,Vihaan Patel,vihaan.patel60@gmail.com,Guwahati,03-03-1987,2025-01-22 14:27:00
36,Suresh Patel,,Patna,04-12-1982,2025-01-14 05:27:00
37,rahul patel,rahul.patel32@hotmail.com,Chandigarh,01-03-1982,2025-01-20 19:50:00
